allusion	variation_list
王粲诗（王粲）	仲宣;王粲诗
郑驿（郑当时）	郑驿;宾客过;留宾驿;郑庄邮;置驿;要贤驿;郑庄宾客地
漳滨卧（刘桢）	漳滨
白头吟	白头吟
姑射	姑射冰肌;冰雪容;玉雪姿;雪肌肤;藐姑仙子;体如冰;姑山客;冰肤玉面;雪貌冰肤;冰姿;姑峰仙质
应刘（刘桢，应玚）	应刘;应陈
一瓢（许由）	一瓢;瓢挂树;饮水箕山;枝上瓢空;枯瓢枝上寄;厌喧解瓢
冶长非罪（公冶长）	冶长非罪
杯渡	杯
瑶华	瑶华
燕赵女	燕赵;燕娥;燕赵多娉婷
悬弧	悬弧
吊鹤（陶侃之母湛氏）	鹤吊;鹤拂碑
韩康	不二价;无亭长识;柴车夺牛;韩康;康伯驾牛;修道夺牛;不
突不黔（墨子，孔子）	黔突;突不黔;孔席;墨突;席不暖;孔突;不暖席，不黔突;孔圣栖遑;墨灶寒;墨子突孔席;暖席
郗超（王珣，郗超）	郗超;髯参;参军髯;王珣短簿
雕虫	雕虫
鹑服	悬鹑;鹑服;衣鹑结;衣如飞鹑
负郭（苏秦）	负郭田二顷;田同季子
鸣岐	岐山鸣凤;鸣岐凤;凤归昌;凤
何郎（何晏，曹睿）	傅粉何郎;汤饼试;汤饼赐都尉;姓何应解傅;热承汗;疑粉
薏苡谤（马援）	薏苡;马援载薏苡;明珠恨;明珠来戚里;所载无南物;薏苡为文犀;珠薏馀生;伏波被谗;明珠一车
铜柱（马援）	铜柱;汉柱
镊白（左思，齐高帝）	镊;弄白须
诸生（叔孙通）	鲁诸生
潘兴（潘岳）	潘兴;潘生秋思;散骑悲秋;潘郎振藻
卧辙（侯霸，秦彭）	遮归路;卧车辙;攀辕
负鼎（伊尹）	伊尹负鼎;尹屈烹饪
平子赋（张衡）	平子归田;张衡作赋
题凤（吕安，嵇喜，嵇康）	题凡鸟;题凤;题字
贰师	贰师
蜗舍	蜗牛庐;庐如瓜牛;蜗书户;一室盘蜗;蜗卖卜居;蜗牛独居
式微	胡不归;式微;黎侯寓卫
公主嫁乌孙（刘建，刘细君，乌孙昆莫）	嫁乌孙;歌黄鹤;双鹤歌;乌孙公主
青衿	青衿;子衿
旰食（伍奢）	旰食;宵旰;宵衣
梅妆（寿阳公主）	寿阳公主;梅妆;蕊粉新妆;宫额;吹到眉心;额黄映日;公主花;刘梅贵主妆;寿阳纤巧;添妆韵似梅;飞近娥绿;含章;含章春风面;含章宫下妆;梅花入寿阳;飘到梅心;试妆看吹面
六龙	六螭;六龙
柳恽	柳吴兴;柳恽
起予（卜商，孔子）	起予
灵和柳（张绪）	灵和;张绪;蜀柳
履声（郑崇）	履声;识郑崇;汉履;听履;曳履;革履
庾公（庾亮）	庾公;庾亮
玄度	玄度
士龙（荀隐，陆云）	云间陆士龙;陆云;日下鸣鹤;小陆
铃阁	铃阁
埙篪	埙篪
刘桢病（刘桢）	刘桢
周郎	周郎
荐祢（孔融，邹阳，祢衡）	鹗表;荐祢衡;孤鹗;一鹗;孔融表;鹗难如;文举识;知祢不荐;鹗荐;孔融荐鹗衡
一戎	一戎衣
曾参	曾参;曾子
许由	许由
前筹（张良）	借前筹;箸筹;子房筹;张良借箸;筹帷
竹马	竹马
青囊	青囊
洗兵	洗兵;雨洗
鹿鸣	鹿鸣;鹿食萍
王陵戆（刘邦，王陵）	三尺水;王陵戆
少君	少君
绕朝策（士会，绕朝）	绕朝赠策;秦人策;吾谋适不用
生公	生公
绝交书（山涛，嵇康）	绝交书;索报书;嵇康懒寄书;中散旧交疏;莫学嵇康
逐客（李斯）	秦逐客
黔娄	黔娄;康子高才
守株	守株
考槃	考槃
千金笑	千金笑;一笑不值钱
谢家（谢灵运）	谢宅;谢家
天鸡	天鸡
鲛室	鲛
杞国忧	杞国忧天;青天坠;杞人思;杞在崩
投阁（扬雄，王莽）	投阁;投天禄
温树	温树
酷似（何无忌，刘牢之，刘裕）	酷似;刘牢出外甥;酷似仰牢之
五千言	五千言
嫫母（嫫母，西施）	嫫母;嫫与施
庄周	漆园吏;蒙邑先生;庄生;庄叟;庄周
琼瑶	琼瑶
向隅	向隅
琪树	琪树
望梅（曹操）	望梅止渴;魏林;救渴将军;征徒异渴
藁砧	藁砧
倾盖（邹阳）	白头新;倾盖;交盖倾;盖不须倾
腐草	腐叶;草为萤;腐草;萤分草
巴字	巴字
从龙	云从龙
北堂	北堂
郢匠（惠施，庄子）	郢斤;代斲;运斤;斲鼻;匠石斤;斲泥手;罢挥斤;成风斤;郢斧;借斧斤;思郢质;郢人妙质;鼻垩挥斤;操斤客;惠死庄杜口;匠石善运;良斲;鼻蝇受斤;斧挥郢鼻;妙斤;斲妮
铄金	烁金;众口铄金;金被铄;谤消金;积毁消金
埋玉（庾亮）	玉树;土花封玉树;白璧埋黄土;泉下琪树;玉人埋处;玉有谁埋
存老马（管仲）	老马;孤竹马;马识边秋;马识金铃;马识山川;马知津
大树（溤异）	大树将军;大树日萧萧;树比公孙;思冯异
戴颙	戴颙;戴征君
担簦（虞卿）	一双白璧;虞卿璧;担簦
不为家（霍去病）	匈奴未灭;不言家;辞第;霍勋;家何为;去病无家;恩未极，家何恤
死灰（南郭子）	死灰;灰无焰;不然灰
白马小儿（侯景）	白马;白骑贼;青袍过寿阳
负薪（披裘公）	五月披裘;负薪裘
非熊（周文王）	非熊;卜梦;周卜
青女	霜娥;青女;神女青腰
知非（蘧瑗）	伯玉知非;悟前非;慕蘧瑗;知六十二年非;年
一苇	一苇;杭苇;渡苇
山屐（谢灵运）	谢公山屐;灵运屐;康乐屐;屐齿登临
高阳酒徒（郦生）	高阳徒
股肱	股肱
谢将军（袁宏，谢尚）	谢将军;运租船;袁宏咏史;牛渚吟;牛渚闻高咏;估船运租;客舟闻咏史;彦伯舟
白猿	白猿剑术;学剑白猿翁;白猿鏖越女;剑术教猿猱;剑术学袁公;猿翁搏;越楚子
韩娥（薛谭，韩娥）	韩娥;绕梁;三日响;歌从雍门学;歌声梁上浮;绕栋宇;馀声三日飞;歌响拂雕梁;梁上歌声绕;声飞梁
五裤歌（廉范）	来何暮;五裤;歌叔度;廉公裤;民谣岂敢裤;五裤换破衣
置醴（楚元王，白生，穆生，陈申公）	置醴;穆生醴;楚人钳;楚筵辞醴;醴为穆生;申公钳;设醴;穆逃楚难;市钳;醴酒忘设
倚马（桓温，袁虎）	倚马;马前草诏;下马具檄;词成马忧倚;露布催书
子玉（崔瑗）	座右铭;崔瑗铭;子玉铭
骊歌（王式）	骊歌;骊唱;狗曲;骊驹;王式本不来;王式悔轻来;不
秦鸡（陈宝）	秦鸡;一双童子;陈宝雄;陈仓鸡
葭灰	灰;清葭
桂玉（苏秦）	桂玉;米如珠;尺薪如桂;炊桂薪;炊琼爇桂;爨丹桂;乏桂燃;苏鬼难因;薪桂粒琼
介推（介之推）	介推;焚林;子推;介子;晋山自弃
偷光（匡衡）	凿壁偷光;假馀光;借壁光;匡衡壁;穿邻舍壁;邻烛馀光;凿照;穿壁借光;烛借邻壁
巢幕（公子札）	巢幕燕;幕上偷安;幕上禽
新亭举目（王导）	新亭;风景不殊;楚囚;风景异山河;悲王导;举目悲风景;无泪学羁囚;不须向新亭;对泣效楚囚;河山不异;茂弘伤情
垂衣	天子垂衣;垂裳;垂衣天下治
孤鸾	孤鸾舞镜;断舞鸾肠;宝鉴肠空断;分鸾;交翼鸾文;舞罢鸾羞;羞对彩鸾舞
刘琨舞（刘琨，祖逖）	起舞闻鸡;中夜舞;刘琨舞;听鸡舞;起舞看吴钩;鸡声非恶
击珊瑚（石崇）	珊瑚
千里驾（吕安，嵇康）	千里驾;嵇吕;嵇驾;寻嵇;命驾访嵇;千
效颦（孔子，师金，西施，颜回）	捧心;东施;西子颦;施颦;心常捧;效颦;长颦难效;效频客
咏康哉（舜）	咏康哉;赓歌;良哉
玄晏（皇甫谧）	皇甫谧;玄晏
濩落（惠子，庄子）	魏王瓠;濩落
黄巾	黄巾
挥金（疏广）	金
子陵台（严光）	七里滩;子陵钓;钓濑;羊裘;严子濑;桐江叟;垂钓沧波;富春生;换钓舟;野水投竿;垂钓严生;汉皇故人;披裘泽畔;严子垂钓;富春渔钓;披裘垂钓
冯夷	冯夷
苌弘血（苌弘）	苌弘碧;千年碧;埋血;化血三年;青青血
轩皇（黄帝）	轩羲;轩辕黄帝;轩皇;轩后
妖星	妖星
藏书壁（刘馀，孔子）	孔壁遗经;鲁壁书;鲁室;闻金丝;屋壁诗书;宣尼壁;怀宅
控鲤（琴高）	琴高鲤;控鲤;骑赤鲤;乘鲤;驾鲤;鞭锦鳞;踏神鲤
徐孺（徐稚）	徐孺子;徐稚
移山志（夸娥）	愚公移山;北山愚;子又生孙;北公;愚叟移;移太行;操蛇北叟;夸娥;山能移
七步（曹丕，曹植）	煮豆;七步诗;相煎何急;豆萁才;豆萁煎正泣;萁燃;子建诗成几步
九折（王阳，王尊）	王尊叱驭;九折;王尊许国;回车;王阳;王尊返驾;王尊疾驱
貔虎	貔武;貔虎
沁水（刘致）	沁园;沁水
越鸟	越鸟;南枝巢禽;禽恩越
悬旌	悬旌
堕髻（梁冀，孙寿）	堕马妆;堕髻;折腰行;梁家黛;孙寿眉;龋齿孙娘;啼妆;妆浅休啼脸;折步
宅相（魏舒）	宁家宅;宅相;弊宅因之
范云	范彦龙;范云
二龙（许虔，许邵）	渊龙;二龙
芝兰（谢安，谢玄）	玉树枝;芝兰;谢庭兰玉;砌玉;兰玉盈庭;玉树满庭;芳庭树;玉树映阶;兰阶
纸贵（左思）	纸价;洛阳纸贵
杞梓	杞梓
悲颜驷（刘恒，刘启，颜驷）	郎潜;白首为郎;汉庭用少;三朝执戟;悲颜驷;汉家尚壮;汉廷用壮臣年老;好文日;久留郎署;三朝臣不遇;晚得诸郎;颜郎老;不与少年争遇合;尚少;文时不遇，武时不遇;好
秦医（晋侯，秦医缓）	秦医;晋竖;二竖;秦氏药
圆凿方枘	圆凿方枘;弩骀;方圆龃龉
索靖（索靖，魏瓘）	索靖;一台二妙;台中妙
蟠桃	蟠桃
悬磬	悬磬
欧冶子	欧冶;越欧百鍊
扬马	扬马
倚伏	倚伏;福兮伏
青萍	青萍
玄珠	玄珠;象罔;遗珠
授衣	授衣
叔子（羊祜）	羊叔子
双南金（张载）	双南金
京洛尘	京洛尘;长安尘;素衣尘;素衣化缁;尘起洛阳风;风尘化客衣;衣化客尘;京华多尘土;困尘缁;落尘
孙康勤苦（孙康）	孙康勤苦;雪窗;雪照;映书;映雪;馀辉照书
握兰	握兰
孙登	孙登长啸
逃名	逃名
断猿（桓温）	断肠
陶唐	陶唐
题柱（田凤）	田郎字;题柱;田凤
题舆	题舆
华胥	华胥
天柱	天柱;西极柱倾
铅刀	磨铅;铅刀;持铅砺锋
吐茵（丙吉）	吐车茵;丞相茵
一阳生	一阳生
青门	青门
亭伯（崔骃）	崔亭伯;崔骃
采兰	采兰
金莲（萧宝卷，潘妃）	步金莲;东昏宠;佳人步;步衬潘娘;金试步;帖地黄金;想故莲;凿地莲花;金花荐步;潘妃印中庭
谢女（谢道韫）	谢
问牛（丙吉）	丙吉问牛;牛喘
青帝	青皇;东帝;东皇;东君力;青帝
调盐醯（庄辛）	调盐醯;挟丸子;庄辛语;公子挟弹;蜻蛉黄雀
绨袍（范雎，须贾）	范叔寒;绨袍;一寒如此;有意袍
公干病（刘桢）	病卧漳滨;公干
雉车（萧芝）	车雉;萧雉
画虎（马援）	画虎;画于菟;虎难摹;画虎反类狗;落笔成虎;图形类狗
阮家（阮咸，阮籍）	阮巷;阮家;阮舍;阮宅
萧郎	萧郎;萧劳风骨
青牛（老子）	青牛;道士牛
卜商（卜商）	卜商;子夏
不乐为车公（车胤）	车公;欢会忆车公;情会招车胤
三台	三台
桑梓	惟桑;桑梓;维桑
采诗	采
采芝	采芝翁;紫芝隐皓
陆贾金（尉他，陆贾）	陆贾金;千金赠;金橐
王良	王良
管乐	管乐
禹穴（夏禹）	禹穴
刘宠	刘宠;一钱
金台	金台
河清	黄河千年一清;河浊;河水有清日
玉兔	月中玉兔;捣药;玉兔捣香尘;天上兔
京兆	京兆阡
履冰	履冰;临深惧
绕指（刘琨）	绕指;百炼;百炼成绕指;一指绕
桓伊	桓伊;三弄笛;桓将军;三弄学元戎;笛里三弄;野王三弄
龚黄	龚黄
磷缁	磷缁
照乘（梁惠王）	照乘;梁珠;魏国明珠
邹书（邹阳）	邹书;梁狱上书;囚梁;邹阳入狱;狱中疵;皱阳献书
射日弓（后羿）	九乌落;射九乌留白日;十日;九轮烛照;羿弓;羿射九日;弯弓射乌
霍冠军（霍去病）	冠军
一鼓（曹刿，庄公）	鼓
关令（尹喜）	关令;尹叟;函谷令;流沙侍师;令尹
白杨悲	白杨悲
张公子	张公子
于陵子（陈仲子）	于陵;灌园人;逃相;仲子廉;于陵一穷通;陈仲灌园织屦;灌园逃公卿;三公灌蔬
爱吾庐（陶潜）	吾爱吾庐;陶庐;绕屋树扶疏;结庐慕陶
征南	征南
击唾壶（王敦）	击唾壶;敲柳瘿;击樽破;狂叩唾壶;壶边击断;壶堪击;壶频叩;击碎村醪𧣴;玉壶敲怨
戴逵（戴逵）	安道;戴逵
三害（周处）	三害;南山虎;白额虎;江中斩蛟;斩龙子;周处除三害;周处刀;不经异兴里;挟剑长桥;周处杀蛟;周侯斩蛟
葵藿（曹植）	倾藿;葵藿;葵藿仰阳春;太阳及葵
武库火（刘邦）	武库火;汉剑飞;斩蛇剑烧上天
千里莼（王济，陆机）	千里莼;陆机莼;问羊酪;羊酪不嫌膻
孔丘（孔子）	孔丘;仲尼
昼锦游（张既）	昼锦还乡;昼归
及瓜（连称，齐侯）	戍瓜;及瓜代;随瓜卸;瓜期;瓜时
嵇阮	嵇阮
黄竹（周穆王）	黄竹;周穆念物
绝编（孔子）	绝编;韦编绝
斥鴳	𩿪鴳;逍遥饮啄;斥鴳蓬蒿;雀委蓬蒿;蓬蒿燕雀;草间尺鴳;尺鴳乐
龙韬	豹篇;龙韬;豹韬;太公筹
一丸（王元，隗嚣）	一丸封;函谷泥;封泥;隗嚣泥;丸泥塞险
褒女（周幽王，褒姒）	褒女;周褒媚己;褒姒;举烽
投杼（曾参）	投梭;曾参杀人;投杼;谗言三至;曾家机;三言移曾母;慈母疑
胶漆	胶漆
缝掖	缝掖
指鹿（赵高）	指鹿为马;马鹿颠倒
三窟（田文，冯谖）	狡兔三窟
凤雏	凤雏
阊阖（屈原）	九阊;阊阖;叫帝关;叫阍
系名王（贾谊）	系名王;系
加餐	加餐
凤求皇（卓文君，司马相如）	凤求凰;凤客;琴中威凤声
逸少	逸少
孟尝（田文）	孟尝君
蚩尤	蚩尤
覆水难收	覆水难收
分泾	泾;渭径;清渭
灵台（第五颉）	灵台
苏门啸（阮籍，孙登）	长啸苏门;孙登啸;鸾凤吟;半空鸾凤;闻凤啸;半岭啸声;长啸愧孙登;长啸作鸾音;高士啸;山头学啸;孙登无语;长吟感孙登
汲黯直（汲黯）	汲黯
高价	高价
梦鸟（罗含）	梦吞鸟;凤早吞;君章才;吞彩凤;鸟有文章
诛茅（屈原）	诛茅;脂韦
拔山（项羽，虞姬）	气盖世;骓不逝;垓下;拔山;四面楚歌;泪尽别骓时;泣对虞姬;项籍顾骓;虞歌诀别
祝融	祝融
伍员死（伍员）	抉眼;伍员;悬目东门;属镂忠恨;属镂剑
五云车	五云车
搀抢	搀枪;搀抢
紫府	紫府
宗雷	宗雷
祖龙（秦始皇）	秦皇;祖龙
阿侯	阿侯
彭泽田（陶潜）	种秫田;彭泽田;元亮秫;访秫粳;陶令秫酒;无田供秫米
五羖（晋献公，百里傒）	五羖皮
掩鼻（郑袖）	掩袖;掩鼻;郑姬谤;魏姝掩袂
阿娇	阿娇
坐啸	坐啸
潘郎泪（潘岳）	安仁悼亡;潘郎泪;潘岳
左思	左太冲;左思;左思驰芳名;芳名
玉壶冰（鲍照）	玉壶冰;冰壶;清如寒露在冰壶
柱史（老子）	柱下史
轩冕	轩冕
玄成	玄成
板舆（潘岳）	潘舆;板舆;版舆
辟疆园	辟疆园
即墨牛（田单）	火牛;连牛;即墨牛;燧牛尾;奔牛;即墨降城;即墨龙文;愧田车;燕阵横功
应徐	应徐
颍阳（尧，许由）	颍客;颍阳
饮冰	饮冰
白登围（刘邦）	白登围;炎汉自勒兵
烛龙	衔烛龙;龙街烛;神龙
阳侯	阳侯;波神
一麾（阮咸，阮咸，颜延之）	一麾出守
鱼目	鱼目混珠;鱼目俪玙璠;鱼目笑明月;夜光同鱼目
养鸡（祝鸡翁）	养鸡;祝鸡翁;尸乡翁
银钩	银钩
游梁	游梁
商陵（南陵牧子）	别鹤;商陵;商陵闻别鹤;琴操寄恨;雅操入琴
班荆	班荆
太常妻（周泽）	太常;不斋醉如泥;斋日多;犯斋收
等浮云（孔子）	富贵浮云;不义若浮云
吐凤才（扬雄）	梦吐白凤;白凤飞来玄草;毫惊彩凤
鹄箭	鹄
枳棘鸾（仇览，仇香，王涣）	栖棘;枳棘栖
白马将	白马将
郑卫	郑卫;郑声
周召	周召;召南分沃畴
酒中蛇（杜宣，乐广）	杯蛇;雕弓落影;广客蛇;赤蛇悬弩影;清樽照画蛇;忘弓莫问蛇;悬蛇疾;移杯失画蛇;照影落清杯;弓舌;映弩;盏底弓影;樽中弩
张长公（张挚）	张长公;张挚
麻衣	麻衣;白衣
心匪石	心匪石;石可转;匪席
帝乡（庄子）	白云乡;帝乡
鸡群（王戎）	鸡群;鹤鸡殊羽翼;鸡鹤分
一掷（刘毅）	呼卢;彩卢连掷;赢如刘毅;一掷成卢;摴蒲百万;刘毅掷;五木尽作炉;掷卢使气;刘毅输百万;希乐豪
白笔	笔
騕袅	騕袅;腰袅
蕊珠	蕊珠宫
无何乡	无何乡
观风	观风
生入关（班超）	生入;关外老班超
杨仆移关（刘彻，杨仆）	杨仆移关;关识新安;惭为关外人
梁王（刘武）	梁王;梁国文雅
姜被（姜肱）	姜肱共被;留被
谢临川（谢灵运）	临川史
弓剑	弓剑
骑羊（葛由）	绥山桃;骑羊
琴声断（王徽之）	子敬琴;人琴;琴声断;殁后知音少;琴残子敬床;灵床琴弦断;碎琴哭灵床
细君（东方朔）	细君;割肉怀归;诙谐割肉
刘越石（刘琨）	刘越石;刘太尉;刘琨
膏明易煎	膏明自煎;漆有用而割;膏
乐毅不归（乐毅）	乐毅;乐生
柳依依	柳依依
郑公乡（郑玄）	郑公乡;改乡名
攀龙	攀龙附凤
子母钱	子母钱;蚨母;青趺
拂衣	拂衣
青蒲（刘奭，史丹）	伏青蒲
夫差	夫差
凤来	凤来仪
风胡	太阿;风胡
风后	风后;黄轩二臣
马融	马南郡;马融
买臣	买臣
枚叟（枚乘）	枚叟;枚乘
献芹	芹献;野人芹;甘芹味;芹美怀君;食芹云美
天上麒麟（徐陵）	天上麒麟;麒麟降自天;石麟天堕;玉麟堕地;玉麟天上谪见
老鱼跳波	老鱼跳波;弦奏跃鱼;鱼出听曲;鱼吹燕蹴;鱼跃闻曲
老骥（曹操）	老马伏枥;老骥思千里
剑履	剑履
蓟子（蓟子训）	蓟子
稷卨（契，卨，稷）	稷
解嘲（扬雄）	扬子解嘲;扬雄嘲
徵兰（郑文公，燕姞）	梦兰
吉甫颂	吉甫颂
鲸鲵（楚王）	鲸
买臣归（朱买臣）	会稽妇;买臣;露绶;翁子妻;怀绶朱公;向故乡怀印绶;妻弃如遗
淮笑韩信（韩信）	淮笑韩信;淮阴
瑚琏（子贡，孔子）	瑚琏
酒如渑	酒如渑
橘井（苏耽）	橘井;苏耽井;桔井
老人星	老人星;南极老人;老人呈端
鸿鹄（陈涉）	鸿鹄志;陇上嗟;燕雀;垄上兴大楚
樵风（郑弘）	郑风;樵风;鹤收仙箭;取箭鹤;仙人收箭;遗箭遣鹤取;仙镝
濡沫	相濡沫;江湖相忘;涸溜;江湖鱼有沫;相忘鳞
何曾箸（何曾）	日费万钱;何曾箸;何相万饯;食万饯;万饯无处著;万钱无外著
平叔（何晏）	何平叔;何驸马
木兰舟（鲁班）	木兰桡;兰枻;兰艇;木兰双桨;刳兰;兰棹
汉威仪（刘秀）	汉仪再睹;识汉衣冠
韩彭	韩彭
昆明习战（刘彻）	昆明习战
学步（公子牟，公孙龙，庄子）	邯郸学步;寿陵步;失步人;忘却金闺故步
莱妻（老莱子）	老莱;莱氏与妻行;千钟逼老莱
休牛（周武王）	归马华山;散马;桃林;桃林卧草，华岳嘶风;桃塞马
曳尾（庄子）	曳尾龟;曳泥途;庄龟;庄生钓;濮上
句芒	句芒
焚稿（羊祜，谢弘微）	焚稿;荧草
孝廉船（刘惔，司马昱，张凭）	孝廉船;觅舟
阮家贫（阮咸，阮籍）	未能免俗;南阮贫;聊复尔耳;晒裈;晋阮;晒犊鼻;犊鼻挂长竿;二阮居南北;摊裈
鹢路	风六鹢;鹢路;宋都鹢;倦鹢无风;鹢羽;宋国高风
盗泉	盗泉
覆车	覆前车;前车之鉴
倒戟（赵盾，灵辄）	倒戟;报一饭;桑下饿;桑间饭;饿翳桑;桑间灵辄;一箪犒;分赵饭;扶轮;灵辄报恩
弹随	隋珠弹雀;弹鹊;弹随;珠抵鹊;弹飞翼;明珠弹丸;千仞弹珠
三休	三休
少微堕（谢敷）	少微
大堤	大堤
翠华	翠华
沈约瘦（徐勉，沈约）	带围宽;沈郎瘦;东阳瘦;腰围瘦;休文瘦;带眼;休文多病;瘦损腰围;衣带渐宽;瘦尽东阳;新宽带结;半分臂小;病起东阳;带易成宽;多病如削;清瘦休文;衰柳腰肢;围腰带剩;腰宽带易垂;腰愧休文;腰围频减;沈侯不胜衣;带围东阳;东阳受损
沈郎钱	沈郎钱
十洲	十洲
江充	江充
赐环	环
叔度（黄宪）	黄叔度;黄宪
丝纶	丝纶
鹔鹴换酒（卓文君，司马相如）	鹔鹴换
孙楚	孙楚
刘琨啸（刘琨）	刘琨啸;越石;清啸戍楼;吹笳清啸;胡笳夜月;刘郎清啸;胡骑北走;笳却敌
周南太史公（司马谈，司马迁）	留滞周南;周南滞;周南太史公;太史南留
唐生（唐举）	唐举;唐生
马融笛（马融）	马融笛;吹管许季长;季长;闻笛
满籯金（韦贤）	满籯金;一经;韦金;黄金满籯;传经俪金籯;遗子后黄金;有道胜金籯;有子传家经可教;传经;通经汉韦
青毡（王徽之，王操之，王献之）	青毡;传家物;床头毡;王家旧物;故物毡;一语不谈俗事;毡取盗;偷儿恕毡
天籁	天籁
池上杯（司马炎，束皙）	池上杯;金人捧剑;洛水流杯;束晰言妙;束
章甫	章甫;适越
荣启期	荣启期;荣先生
地仙	地仙
东郭履（东郭先生）	东郭先生履;履穿;东郭踏雪
秋胡（秋胡妻）	秋胡;南陌金
燕霜（邹衍）	燕霜;五月飞霜;邹衍囚燕;含悲系燕狱;邹生哭;邹衍感彼苍;邹衍系狱
卧牛衣（王章）	牛衣;王章被;仲卿泣;对泣痕;泪沾牛衾;王章含愁;卧病王章
放鹤（支遁）	放鹤;放雪翎
彭殇（彭祖）	彭殇;彭铿夭;殇乐长年
犯龙鳞	婴鳞;犯龙鳞;撄鳞语;逆鳞;批鳞
返魂香	返魂香
学稼（孔子，樊迟）	学樊迟稼
累安邑（闵贡）	猪肝;累安邑;安邑问猪肝;烦县尹;食肝烦县令;食无肝;猪肝仲叔惭
隔银河（牵牛，织女）	盈盈一水;隔银河;二星无语;河汉;脉脉情难语;牵牛河汉女;一
暴泥	曝鳃;暴泥
骑白鹿（卫叔卿）	骑白鹿;卫叔卿
二陆（陆机，陆云，陆弟）	陆弟;二陆
虞翻骨相屯（虞翻）	虞翻骨相屯;虞翻;时情弃仲翔
鄂君（鄂皙）	鄂君
蛾眉（庄姜）	蛾眉螓首
五马渡江	五马南;一马化为龙;南渡马;渡江天马;群马南渡
隐墙东（王君公，逢萌）	墙东;避世贤;侩牛;学刽牛
抢榆枋	抢榆枋
切泥	切玉
飞琼（西王母，许飞琼）	飞琼;飞琼人间识
武库（杜预）	杜武库
中散琴（嵇康）	中散琴;琴嵇;叔夜弹琴;中散有正声
琴瑟	琴瑟
家丘（孔子）	东家邱;不知邱
青云器（阮咸，颜延年）	青云
琼玖	琼玖
池中物（周瑜，刘备，周瑜，孙权）	池中物;池龙;蛟龙云雨;云雨动蛟龙;浅水留龙不住
椒花颂（陈氏）	椒花颂;颂春椒
