allusion	variation_list
落帽（孟嘉，桓温）	龙山落帽;落乌纱;堕帽;重阳帽;龙山对孟嘉;帽受西风;乌帽任风吹;吹堕白纶巾;吹帽狂司马;客帽欺风;老嘉破帽;帽逐秋风;损帽;醉里乌纱;惊飙捲乌纱;南朝狂客帽;鸟帽落;破帽惊吹;破帽恋头;乌帽风里坠;乌纱随风
长沙鵩（贾谊）	鵩鸟;鵩如鸮;问鸮;鸮灾;服鸟灾;鸟伤贾傅;问鵩灾;野鸟灭王傅
邻笛（向秀，吕安，嵇康）	山阳笛;横笛一声;吕安亡;隔江笛;河里笛;风悲笛;为笛声怀旧;向秀归来;向子赋;风笛怆四邻
锦字（苏若兰）	锦字;锦纹;秦川锦;锦意;鸳纹;灯下锦;裁诗挑锦;窦闺织妇;红丝织字;回织别离字;解织宜名蕙;锦织回鸾;锦中文;秦川窦氏妻;苏氏锦;诗字锦;璇玑断肠图
五侯	五侯
弹铗（田文，冯谖）	食有鱼;出无车;弹长铗;歌鱼;吴鱼;孟尝鱼;冯谖剑;耻弹门下铗;葛鱼;冯谖有鱼;孟尝君黄齑社;贫铗为谁谭;倚柱
送酒（陶潜，王弘）	醉菊花;白衣送酒;陶潜酒;彭泽酒;醉东篱;无钱对菊;携觞王太守;渊明把菊;渊明醉倒;渊明风流;渊明重九;篱边怅望
青眼（阮籍）	青眼;眼生白;碧眼;日向幽人青
王母（西王母）	瑶池王母;西海期;献桃人;金母
二毛（潘岳）	潘岳白发;安仁鬓;惊鬓发;潘年;河阳鬓;安仁头白早;鬓难留黑;鬓如潘骑省;河阳镜里丝;骑省鬓边华;素发悲;鬓毛惊老;骑省悲秋赋
聚萤（车胤）	萤;案头萤;临书卷;翠囊;惜馀光;囊悬;借余光;露萤清夜照书卷;练囊不照;武子窗;收萤慕车;映书
金门（扬雄）	金马门
梁鸿（孟光，梁鸿）	梁鸿隐;举案齐眉;梁孟;鸿妻;孟光;伯鸾;孟妇;德耀嫁梁鸿;庑下舂;梁叟;梁氏夫妻;齐眉食;伯通隐;操舂举案;杵臼得梁鸿;鸿舂;赁舂;赁庑
仙舟（李膺，郭太）	李郭仙;元礼;登仙郭;共载比神仙;郭去半舟闲;洛滨仙伯;人在舟中便是仙;送别仰神仙;星棹依元礼;登仙同元礼;同舟李膺;舟上欲仙
莲府（庾杲之，王俭，萧缅）	芙蓉幕;莲花府;莲沼;绿水红莲;泛绿依红;幕府莲;一朵红莲;庾杲莲;俭池;绿水宾;红莲书记;依莲泛水
文君（卓文君，卓王孙，司马相如）	风流地;琴心;卓家;弦心;弹凤;凤媒;文君;漫寄心;琴中凤语;文君知曲意;闻琴解佩;夜扣相如扉;卓氏;琴寄情;相如意蜜;望
琼树	琼树;琼枝
衡门	衡门;衡闱
献赋（刘彻，司马相如，扬雄，杨得意）	相如投赋;杨意;献甘泉;问长卿;献赋;献子虚;相如才调;无人荐子虚;荐临邛;狗监;狗监说相如;狗监荐才子;君王问相如;相如从长杨;长杨
倾城（刘彻，李延年）	倾城国;绝代佳人;国自倾;绝世歌;延年妹;倾北方
黄石（张良，黄石公）	帝王师;圯上书;黄石;圯桥取履;跪履;堕履;黄公略;谷城翁;老人书一编;桥下书曾受;文成履;一编书是帝王师;一编圯下;圯桥石杳;堕屦;老人桥上迹;老人遗履;桥头遗书;失却老仙期;石公;子房取鞋
范蠡	范大夫;相越平吴;范蠡
挂冠（逢萌）	挂冠;逢萌解冠;挂官辞朝
